date,curator,artist,track,genre,youtube_url,youtube_music_url,spotify_url,bandcamp_url,soundcloud_url,tidal_url
2018-08-31,trey,Benighted,Martyr,brutal death metal,https://www.youtube.com/watch?v=dD8JNrFHqOw,,https://open.spotify.com/track/5YHH0Q7sXD1V7YIOddK8JK,https://benighted.bandcamp.com/track/martyr,https://soundcloud.com/benighted-music/martyr,
2018-08-31,trey,Parius,Phylactery,progressive death metal,https://www.youtube.com/watch?v=elkfqYIcBXU,,https://open.spotify.com/track/2igadY13IMPLizPqspd8yI,https://parius.bandcamp.com/track/phylactery,,
2018-08-31,trey,Uada,Purging Fire,black metal,https://www.youtube.com/watch?v=9NrC7pRra9o,,https://open.spotify.com/track/19iaDzpgbFLc2HPUZjmNDM,https://uada.bandcamp.com/track/the-purging-fire,,
2018-09-07,trey,Crawl,The Stench,death metal,https://www.youtube.com/watch?v=nMaJKLm3tUw,,https://open.spotify.com/artist/0IsHfUrkDuwh26aPk2RIne,https://crawldeath.bandcamp.com/track/the-stench,,
2018-09-07,trey,Mask of Judas,The Conspirator,progressive deathcore,https://www.youtube.com/watch?v=k5Z96m032sA,,https://open.spotify.com/artist/43PRSMq1xfw3YaTTU4zpMy,https://maskofjudas.bandcamp.com/album/the-mesmerist,,
2018-09-14,trey,Pig Destroyer,House of Snakes,grindcore,https://www.youtube.com/watch?v=pUYHPSIQpKE,,https://open.spotify.com/album/1GCN7SL1Z4mRyMxqb1YJGQ,https://pigdestroyer.bandcamp.com/track/house-of-snakes,https://soundcloud.com/pigdestroyerofficial/house-of-snakes,
2018-09-14,trey,Wound,Echoes,death metal,https://www.youtube.com/watch?v=cbRdYH7NZ3k,,,,,
2018-10-12,trey,High on Fire,Sanctioned Annihilation,doom/stoner,https://www.youtube.com/watch?v=AhfBRfj37L0,,https://open.spotify.com/track/0avjZ6HUZk2xbgjKycKL8Z,https://highonfire.bandcamp.com/track/sanctioned-annihilation,https://soundcloud.com/highonfireofficial/sanctioned-annihilation,
2018-10-12,trey,Mestis,Ever Wonder,progressive,https://www.youtube.com/watch?v=W4FYxrl-I34,,https://open.spotify.com/track/1qKoCfkwVqNt490TdwzFRe,,,
2018-10-12,trey,Revocation,The Outer Ones,death/thrash,https://www.youtube.com/watch?v=tbEBKH_XDrU,,https://open.spotify.com/track/1U1mJ2kStcsHlt71m8TRI3,https://revocationband.bandcamp.com/album/the-outer-ones,https://soundcloud.com/metalbladerecords/revocation-the-outer-ones,
2018-10-19,trey,Behemoth,Bartzabel,blackened death,https://www.youtube.com/watch?v=P3fbYqeOzxY,,https://open.spotify.com/track/3wBHF6evf55iEzyMtReJSH,https://behemoth.bandcamp.com/album/i-loved-you-at-your-darkest,https://soundcloud.com/behemothofficial/bartzabel,
2018-10-19,trey,Horrendous,Devotion (Blood for Ink),progressive death,https://www.youtube.com/watch?v=QkD3U5FpXXc,,https://open.spotify.com/artist/1Na6P4MqOassrZtvT9Z12s,https://horrendous.bandcamp.com/track/devotion-blood-for-ink,,
2018-10-26,trey,Daughters,"Long Road, No Turns",noise rock/experimental,https://www.youtube.com/watch?v=MS80rK-sRoU,,https://open.spotify.com/track/0GFdh2alLLCJnLHuzdsQ2e,https://daughters.bandcamp.com/track/long-road-no-turns,https://soundcloud.com/daughters/long-road-no-turns,
2018-10-26,trey,Haken,The Good Doctor,progressive,https://www.youtube.com/watch?v=BD3v8w57_lU,,https://open.spotify.com/track/6UvK7paq5HLuUxo3ksVmlj,https://hakenofficial.bandcamp.com/track/the-good-doctor,https://soundcloud.com/hakenofficial/the-good-doctor,
2018-10-26,trey,Scorched,Astral Savior,death,https://www.youtube.com/watch?v=l_p59lSYv5k,,https://open.spotify.com/album/0ivWPOiNx7ZLzsbOLbbnNC,https://20buckspin.bandcamp.com/track/astral-savior,,
2018-12-07,trey,Arsis,Funereal Might,technical/melodic death,https://www.youtube.com/watch?v=8wQutJGTQIw,,https://open.spotify.com/album/3SHdJx54muYy3RCzGKXL9F,,,
2018-12-07,trey,Chapel of Disease,Oblivious/Obnoxious/Defiant,death'n'roll,https://www.youtube.com/watch?v=V05Jsr6zXyM,,https://open.spotify.com/track/2YGU7dLYyQckTXwy9lXFSL,https://chapelofdisease.bandcamp.com/track/oblivious-obnoxious-defiant,https://soundcloud.com/chapelofdisease/oblivious-obnoxious-defiant,
2018-12-07,trey,Esben and the Witch,Dull Gret,post metal,https://www.youtube.com/watch?v=f1gFgAkRiyQ,,https://open.spotify.com/track/6PzHte9I02hGUnsskm2UTV,https://esbenandthewitch.bandcamp.com/track/dull-gret,,
2018-12-07,trey,Hate Eternal,What Lies Beyond,death,https://www.youtube.com/watch?v=kdPEE8_u8cQ,,https://open.spotify.com/track/2twkod822LTomifvDubtM8,https://hateeternal.bandcamp.com/track/what-lies-beyond,,
2018-12-07,trey,Outer Heaven,Echoes from Beyond,death,https://www.youtube.com/watch?v=n7vdzEdrIy4,,https://open.spotify.com/track/5lBXwlwJ8Qe4C2vjrOIA7N,https://outerheaven.bandcamp.com/track/echoes-from-beyond,,
2018-12-14,trey,Anaal Nathrakh,Forward!,black metal,https://www.youtube.com/watch?v=Lmloi1rcres,,https://open.spotify.com/track/38XmF28XW6a7g44JhZdsDT,https://anaalnathrakh.bandcamp.com/track/forward,https://soundcloud.com/anaalnathrakh/forward,
2018-12-14,trey,YOB,Ablaze,doom,https://www.youtube.com/watch?v=ei9PR87zDk8,,https://open.spotify.com/track/6qnR9hixeaxOTQrjqxJy0N,https://yobislove.bandcamp.com/track/ablaze,https://soundcloud.com/yob104640/ablaze,
2018-12-21,trey,Glacial Tomb,Sunless Dawn,death/doom,https://www.youtube.com/watch?v=DzNt1Lbf63A,,https://open.spotify.com/track/69duWlZTcDswRLbKPzX0nx,https://glacialtomb.bandcamp.com/track/sunless-dawn,,
2018-12-21,trey,Immortal,Called to Ice,black metal,https://www.youtube.com/watch?v=aLAK4Hg069c,,https://open.spotify.com/track/7qiJN44hgzbZxJ9qnmIqhU,https://immortal.bandcamp.com/album/northern-chaos-gods,,
2019-01-04,trey,Cist,Cryonesia,death,https://www.youtube.com/watch?v=uMjCULDZLec,,https://open.spotify.com/artist/2zCrzh42wxYAOggsfg3IwT,https://cist.bandcamp.com/track/cryonesia,,
2019-01-04,trey,Howling Sycamore,Obstinate Pace,progressive,https://www.youtube.com/watch?v=wnknODIXfK8,,https://open.spotify.com/album/1sVdcMXesp1TJ33TAOgYvA,https://howlingsycamore.bandcamp.com/album/howling-sycamore,,
2019-01-11,trey,Cenotaph Obscure,Tumulus of Ancient Bones,death,https://www.youtube.com/watch?v=7QzcTw1jgQY,,https://open.spotify.com/track/1ktkrmwUp9vedNebxXACNi,https://obliterationorway.bandcamp.com/track/tumulus-of-ancient-bones,,
